id,label
0,0
1,0
2,0
3,1
4,1
5,1
6,0
7,1
8,1
9,0
10,1
11,1
12,1
13,0
14,1
15,1
16,0
17,0
18,1
19,0
20,0
21,1
22,0
23,0
24,1
25,0
26,1
27,1
28,0
29,1
30,0
31,0
32,1
33,1
34,1
35,0
36,0
37,1
38,1
39,1
40,0
41,0
42,0
43,1
44,1
45,0
46,1
47,1
48,1
49,1
50,1
51,0
52,0
53,1
54,0
55,0
56,0
57,1
58,0
59,0
60,1
61,1
62,0
63,1
64,1
65,1
66,1
67,0
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,0
76,0
77,1
78,0
79,0
80,1
81,0
82,1
83,1
84,1
85,0
86,0
87,1
88,0
89,1
90,0
91,1
92,0
93,1
94,1
95,0
96,0
97,1
98,0
99,0
100,0
101,1
102,0
103,0
104,1
105,1
106,1
107,0
108,1
109,0
110,1
111,1
112,1
113,0
114,1
115,1
116,0
117,1
118,0
119,0
120,1
121,0
122,0
123,0
124,1
125,1
126,1
127,0
128,0
129,0
130,1
131,1
132,1
133,1
134,1
135,0
136,1
137,0
138,0
139,1
140,0
141,1
142,1
143,1
144,0
145,0
146,0
147,1
148,0
149,0
150,0
151,0
152,1
153,1
154,1
155,1
156,1
157,0
158,0
159,0
160,0
161,1
162,0
163,1
164,1
165,1
166,0
167,0
168,0
169,0
170,0
171,1
172,0
173,0
174,1
175,1
176,1
177,0
178,1
179,1
180,1
181,0
182,0
183,1
184,0
185,1
186,1
187,0
188,0
189,0
190,1
191,0
192,0
193,1
194,1
195,1
196,1
197,0
198,1
199,1
200,0
201,1
202,1
203,0
204,1
205,1
206,1
207,1
208,1
209,0
210,0
211,0
212,1
213,0
214,1
215,1
216,1
217,1
218,0
219,0
220,1
221,1
222,1
223,1
224,1
225,0
226,1
227,0
228,0
229,0
230,1
231,0
232,0
233,0
234,1
235,0
236,1
237,0
238,1
239,0
240,1
241,0
242,1
243,0
244,0
245,1
246,0
247,1
248,0
249,0
250,0
251,1
252,1
253,1
254,1
255,0
256,0
257,1
258,1
259,1
260,1
261,0
262,0
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,0
277,1
278,1
279,1
280,0
281,0
282,0
283,0
284,1
285,1
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,1
294,1
295,0
296,1
297,1
298,1
299,0
300,0
301,1
302,1
303,1
304,1
305,1
306,0
307,0
308,1
309,0
310,0
311,1
312,1
313,0
314,0
315,1
316,0
317,1
318,1
319,0
320,0
321,0
322,0
323,0
324,1
325,0
326,0
327,0
328,1
329,1
330,0
331,1
332,0
333,0
334,1
335,1
336,1
337,1
338,0
339,0
340,1
341,0
342,1
343,0
344,0
345,0
346,1
347,0
348,0
349,1
350,1
351,1
352,1
353,0
354,1
355,1
356,1
357,0
358,1
359,1
360,1
361,1
362,1
363,0
364,1
365,0
366,1
367,0
368,0
369,1
370,1
371,0
372,0
373,1
374,1
375,0
376,0
377,0
378,0
379,1
380,0
381,1
382,0
383,1
384,0
385,1
386,1
387,0
388,1
389,0
390,1
391,1
392,0
393,1
394,1
395,0
396,1
397,1
398,1
399,0
400,0
401,0
402,1
403,1
404,1
405,0
406,1
407,0
408,1
409,1
410,0
411,1
412,1
413,1
414,0
415,0
416,0
417,0
418,0
419,1
420,0
421,0
422,1
423,0
424,0
425,0
426,1
427,0
428,0
429,1
430,1
431,1
432,0
433,0
434,1
435,1
436,1
437,1
438,1
439,0
440,1
441,0
442,1
443,0
444,0
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,0
453,1
454,1
455,0
456,0
457,1
458,0
459,0
460,1
461,0
462,1
463,1
464,1
465,0
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,0
474,1
475,0
476,1
477,1
478,0
479,0
480,1
481,1
482,1
483,0
484,0
485,0
486,1
487,0
488,0
489,1
490,0
491,1
492,1
493,0
494,1
495,0
496,0
497,0
498,0
499,1
500,0
501,1
502,1
503,0
504,0
505,1
506,1
507,1
508,0
509,1
510,0
511,0
512,1
513,1
514,1
515,1
516,1
517,0
518,0
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,0
529,0
530,0
531,1
532,0
